number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
68,3.6783641656977495,2025-10-24 01:56:36.913649,2025-10-24 01:56:50.568847,0 days 00:00:13.655198,0.9937973783914402,3.1772448301095872,0.04457362088668749,9,7,323,2.7371461121210622e-05,0.04484163982647075,0.7904070000669317,COMPLETE
69,3.676966159175806,2025-10-24 01:56:50.570554,2025-10-24 01:57:04.561212,0 days 00:00:13.990658,0.9922096733088297,3.02187467807663,0.04248435133668487,9,6,317,2.521876724286262e-05,0.028745732768812336,0.7893288077724775,COMPLETE
70,3.679973850248294,2025-10-24 01:57:04.562965,2025-10-24 01:57:18.770802,0 days 00:00:14.207837,0.9908400915899693,3.200265597829053,0.041093594202037835,9,6,323,2.7539232091184835e-05,0.05040056290139454,0.7910148551936808,COMPLETE
71,3.678786238626633,2025-10-24 01:57:18.772297,2025-10-24 01:57:48.688371,0 days 00:00:29.916074,0.995687852931774,3.0332092219853806,0.042260764658539424,9,6,326,2.9817588082269506e-05,0.04880713941520314,0.7828252623926589,COMPLETE
72,3.677460126872745,2025-10-24 01:57:48.690743,2025-10-24 01:58:32.415937,0 days 00:00:43.725194,0.9830193590880758,3.051759763778121,0.04133007545083939,9,5,321,2.9128088997528554e-05,0.04896646503374577,0.7444473147196138,COMPLETE
73,3.6767390168742216,2025-10-24 01:58:32.417397,2025-10-24 01:58:46.643763,0 days 00:00:14.226366,0.9913689632449834,3.116752453258022,0.040485192186378145,9,5,324,3.530918868213362e-05,0.036688694542839476,0.7295595187211726,COMPLETE
74,3.6765604783296384,2025-10-24 01:58:46.645382,2025-10-24 01:59:02.141273,0 days 00:00:15.495891,0.9944404828905319,3.0877739459911857,0.03722571230852706,9,5,324,2.600103599773964e-05,0.04807875561949969,0.7275792870222701,COMPLETE
75,3.6760202722588957,2025-10-24 01:59:02.142832,2025-10-24 01:59:18.078682,0 days 00:00:15.935850,0.996758249160344,3.0953420014536017,0.03569780428867707,9,5,334,2.787990955064366e-05,0.043305394809265554,0.691543992925976,COMPLETE
76,3.6727493039937316,2025-10-24 01:59:18.080363,2025-10-24 01:59:34.106419,0 days 00:00:16.026056,0.9985196418791106,3.2832711641267163,0.028198289768478005,9,5,332,4.618332761797175e-05,0.01582558957849204,0.6849636966136439,COMPLETE
77,3.672831984333107,2025-10-24 01:59:34.108029,2025-10-24 01:59:55.085766,0 days 00:00:20.977737,0.9995732144539778,3.2975593994890326,0.030561278349524577,10,5,345,5.401157387530172e-06,0.013896288802526774,0.6854973077902875,COMPLETE
